id,product_name,origin text,price
627,PINK DROP 30ml & PINK PAD 60sheets,향이 자극적이지도 않고 패드로 닦고나면 엄청 촉촉하고 화장도 잘 먹어서 너무 좋아요 친구도 한번 써보더니 담날 어디꺼냐고 물어봐서 알려줬어용 ㅎㅎ재구매 의사 10000% 입니다,"67,000원 "
628,yellow drop / pink drop / pink pad / red pad (택1),자극없이 사용하기 아주 좋습니다 필링도 나름 잘 되고 향도 좋아요 재구매 의사있습니다,"25,000원 "
629,yellow drop / pink drop / pink pad / red pad (택1),옐로우필 쓰다가 떨어져서 사러왔는데 세트 할인있어서 냉큼 샀어요~!! 너무 좋은 먼데이 뮤지엄이라 묻따안하고 바로 겟! 패드랑 세럼 크림  딱!! 나이스 타이밍~ ,"25,000원 "
630,yellow drop / pink drop / pink pad / red pad (택1),"민감하고 건조한 피부인데, 요즘같은 환절기에 싹이네요! 촉촉하고 끈적임이 없이 발림성이 좋아요! ","25,000원 "
631,yellow drop / pink drop / pink pad / red pad (택1),예민 피부인데 각질부자라 안 써본 필링제품이 없는데요.  저저 드디어 필링앰플 정착했어요!!!!  자극없이 순한데 자기 전 바르고 난 다음날이면  화장이 그렇게나 잘 먹을 수 없다며~~  이게 다 필링앰플 바뀐 덕분이라 생각됩니다.  진짜 예민 피부이신분들께 꼭 강츄해요!!  ,"25,000원 "
632,yellow drop / pink drop / pink pad / red pad (택1),가을철 꼼꼼하게 피부 관리할 수 있네요,"25,000원 "
633,yellow drop / pink drop / pink pad / red pad (택1),피부에 각질이 많아서 거칠었는데 사용하고 나니 너무 매끄러워 졌어요 추천해요,"25,000원 "
634,YELLOW INSPIRATION  PEEL DROP  30ml,필링 앰플이라 자극감이 있을까 걱정했는데 정말 순해요! 롤링해서 각질 벗겨내는 필링젤은 자극감이 느껴지기도 하는데 이건 평상시 모공관리용으로 자극없이 쭉 쓰기 좋아요~ 흡수도 빠르고 쫀쫀한느낌 :-) 패키지도 고급스러워서 선물로 재구매의사 있어요,"35,000원 "
635,yellow drop / pink drop / pink pad / red pad (택1),바르고나면 다음날 매끈매끈한 느낌이에요 화장도 잘먹어서 자주 손이 갑니다!,"25,000원 "
636,yellow drop / pink drop / pink pad / red pad (택1),"세안후 얼굴이 당겼는데요제품을 사용해보니 발림성도 좋고 보습도 좋아서당기지 않고 좋네요아침에 발르고 나갔는데 오후까지도 남아 있는 것 같네요바르고 나면 탱글거린다고 해야할까요~ 제 느낌은 그렇네요건조한 피부에는 좋은 것 같아요전 건조한 타입은 아니지만 저에게도 요즘 같은 날씨에는 보습효과와 함께하루동안도 촉촉함을 유지해주니 좋네요향도 은은하니 좋고, 다 사용하고 나면 재구매해도 괜찮은 제품인것 같아요","25,000원 "
637,GREEN INSPIRATION  GLOW DROP 30ml,촉촉하고 수분감 많아요 냉장고 넣었다가 사용하니까 시원해서 여름에 잘 사용했는데 이제 핑크제품으로 갈아탈까봐요,"35,000원 "
638,yellow drop / pink drop / pink pad / red pad (택1),다음날 피부가 매끈해져서 주3회는 사용중에요 예민한 편인데도 자극없어서 좋네요! ,"25,000원 "
639,yellow drop / pink drop / pink pad / red pad (택1),다음날 피부가 매끈해져서 주3회는 사용중에요 예민한 편인데도 자극없어서 좋네요!,"25,000원 "
640,yellow drop / pink drop / pink pad / red pad (택1),보습 촉촉하고 향도 좋도 만족해용,"25,000원 "
